code,description,remedy
S7-F30001,Drive encoder signal loss detected during operation,"Check encoder cable connections at both the motor and drive ends for looseness or damage. Verify encoder supply voltage is within spec (typically 5V or 24V depending on encoder type). Replace encoder cable if shielding is compromised. If fault persists after cable check, replace the encoder itself."
S7-F30002,Drive overcurrent / short circuit detected on power output,Immediately check motor cabling for insulation damage or a phase-to-phase short. Disconnect motor and measure winding resistance for imbalance. Check for mechanical binding causing excessive current draw. Do not reset and re-run repeatedly -- repeated overcurrent trips can indicate an imminent drive failure.
S7-F30012,24V control voltage below minimum threshold,"Measure supply voltage at the PLC power terminals under load. Check for a failing or undersized 24V power supply, loose terminal connections, or excessive voltage drop over long cable runs. Replace the power supply if output sags under load."
S7-F35100,Communication timeout on PROFINET/PROFIBUS network,Check physical bus cabling and termination resistors at both ends of the segment. Verify the device's network address matches the configuration in TIA Portal/hardware config. Check for duplicate IP or station addresses on the network. Reboot the affected I/O station if addressing is confirmed correct.
S7-F35200,I/O module configuration mismatch with hardware config,"Compare the physical module installed in the rack against the hardware configuration in the PLC project. Update the hardware config to match, or physically swap in the correct module type. Re-download hardware configuration after correcting."
S7-A2000,Battery voltage low warning on CPU,"Replace the CPU backup battery as soon as possible -- this is a warning, not yet a fault, but program/data loss can occur on power-down if the battery fails completely. Standard CR-type lithium battery, refer to CPU model for exact part number."
S7-A5000,Program scan cycle time exceeded configured maximum,"Review the program for inefficient loops or excessive blocking calls within a single scan. Increase the maximum cycle time setting if the extended time is expected and acceptable, otherwise optimize program logic to reduce scan time."
S7-E402,Motor will not start -- enable signal present but no rotation,"Confirm the drive is not in a fault state (check drive display/diagnostic buffer first). Verify the enable signal is actually reaching the drive terminal with a multimeter, not just asserted in the PLC program. Check for a mechanical brake that has failed to release. Verify motor thermal protection has not tripped."
AB-0001,Illegal instruction or corrupted program memory detected,"Do not attempt to run the program as-is. Restore from the last known-good backup. If no backup exists, re-download the program from the offline project file. Run a full program verify after restoring. Investigate whether a power interruption during a program edit caused the corruption."
AB-0002,NVRAM checksum error -- memory module may be corrupted or failing,"Cycle power to the processor. If the error recurs after power cycle, the memory module is likely failing and should be replaced. Restore program from backup after replacing memory. Consider this a hardware-replacement fault, not a resettable one."
AB-0004,Watchdog timer expired -- processor did not complete scan in time,"Check for an infinite loop or unbounded wait condition in ladder/structured text logic. Review any recently added subroutines for logic that could hang. If this is intermittent and load-dependent, review overall scan time and I/O update load on the processor."
AB-0006,I/O communication fault -- module not responding on the backplane,Reseat the affected I/O module -- power down the rack first. Check for bent backplane connector pins. Verify the module is rated for and compatible with the rack/backplane revision in use. Replace the module if reseating does not clear the fault.
AB-0103,Communication module not responding -- network adapter fault,"Power-cycle the communication module specifically (not the whole rack, if it's hot-swappable). Check network cabling into the module. Verify the module's firmware version is compatible with the processor firmware. Replace the module if it fails to re-establish communication after power cycle."
AB-0202,Overtravel limit switch triggered on an axis,"Do not simply bypass the limit switch. Physically inspect the axis for the cause of overtravel -- jammed mechanism, incorrect homing, or a drive following-error. Manually jog the axis back within limits before clearing the fault and re-enabling. Verify limit switch wiring and mounting position have not shifted."
AB-0305,Analog input signal out of expected range,"Check the field wiring for the analog signal -- loose terminals, broken shield, or incorrect 4-20mA vs 0-10V configuration. Verify the sensor/transmitter is powered and functioning independently with a handheld meter. Check the analog module's channel configuration matches the connected device type."
AB-0410,Emergency stop circuit open -- safety relay tripped,Physically check all E-stop buttons in the safety circuit chain for one still in the pressed/latched position. Inspect safety relay wiring for a break in the loop. Do not defeat or jumper the safety circuit under any circumstances -- resolve the actual open condition before resetting.
MELSEC-6706,CPU error -- operation circuit fault detected,"This is typically a hardware-level CPU fault. Power cycle the PLC first. If the error persists across multiple power cycles, the CPU module itself likely needs replacement -- this is not generally a program-logic issue."
MELSEC-6730,Battery error -- latched memory backup battery voltage low,Replace the PLC backup battery promptly to avoid loss of retained data/counters on power loss. Battery replacement can typically be done without powering down if the unit supports hot battery swap -- check CPU documentation before removing power.
MELSEC-7000,Parameter error -- CPU parameter settings invalid or corrupted,"Reload PLC parameters from the offline project backup. If no backup is available, parameters will need to be manually reconfigured to match the intended I/O and network configuration before the CPU will run."
MELSEC-8000,Serial communication error on programming port,"Check the communication cable and connector for damage. Verify baud rate and communication parameters match between the PLC and connected device (HMI, programming software, etc.). Try an alternate known-good cable to rule out a cable fault before suspecting the PLC port itself."
MELSEC-9000,I/O configuration error -- installed modules do not match parameter settings,"Compare physical I/O module layout against the parameter settings in GX Works. Correct the parameter configuration to match physical hardware, or install the correct module type in the expected slot."
HMI-COMM-01,HMI screen showing 'communication error' / no live data from PLC,"Verify the physical connection between HMI and PLC (Ethernet cable, COM port). Ping the PLC's IP address from a laptop on the same network to isolate whether this is a network issue or an HMI configuration issue. Check that the HMI project's device driver and station address match the actual PLC configuration."
DRIVE-OVERLOAD,Motor overload trip on VFD or motor starter,Do not simply reset and restart without investigating -- repeated overload trips indicate a real problem. Check for mechanical binding on the driven load. Verify the overload/VFD current setting matches the actual motor nameplate rating. Check motor winding temperature and insulation resistance if trips continue.
DRIVE-PHASE-LOSS,Input phase loss detected on VFD,"Check all three incoming power phases at the drive's input terminals with a meter. Look for a blown fuse on one phase, a loose disconnect switch contact, or an upstream breaker issue. Do not bypass phase-loss protection -- running a three-phase motor on two phases causes rapid winding damage."
